Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8491116k free), swap 19208636k(3951692k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T00:23:59.302+0800: 1.361: [Full GC (Ergonomics) [PSYoungGen: 131584K->18200K(153088K)] [ParOldGen: 349319K->349227K(349696K)] 480903K->367428K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0445543 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.358+0800: 1.417: [Full GC (Ergonomics) [PSYoungGen: 131584K->14994K(153088K)] [ParOldGen: 349227K->349631K(349696K)] 480811K->364625K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0418203 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.412+0800: 1.470: [Full GC (Ergonomics) [PSYoungGen: 131584K->16806K(153088K)] [ParOldGen: 349631K->349233K(349696K)] 481215K->366040K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0433535 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.469+0800: 1.527: [Full GC (Ergonomics) [PSYoungGen: 131584K->14179K(153088K)] [ParOldGen: 349233K->349425K(349696K)] 480817K->363605K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0447939 secs] [Times: user=0.42 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.528+0800: 1.585: [Full GC (Ergonomics) [PSYoungGen: 131584K->10643K(153088K)] [ParOldGen: 349425K->349590K(349696K)] 481009K->360233K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0414610 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.582+0800: 1.640: [Full GC (Ergonomics) [PSYoungGen: 131215K->13434K(153088K)] [ParOldGen: 349590K->349673K(349696K)] 480806K->363107K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0446635 secs] [Times: user=0.45 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.640+0800: 1.699: [Full GC (Ergonomics) [PSYoungGen: 131527K->12126K(153088K)] [ParOldGen: 349673K->349582K(349696K)] 481200K->361709K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0415297 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.695+0800: 1.753: [Full GC (Ergonomics) [PSYoungGen: 131362K->13801K(153088K)] [ParOldGen: 349582K->349632K(349696K)] 480944K->363433K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0423804 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.751+0800: 1.809: [Full GC (Ergonomics) [PSYoungGen: 131584K->11840K(153088K)] [ParOldGen: 349632K->349173K(349696K)] 481216K->361013K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0434927 secs] [Times: user=0.42 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.808+0800: 1.866: [Full GC (Ergonomics) [PSYoungGen: 131584K->10225K(153088K)] [ParOldGen: 349173K->349522K(349696K)] 480757K->359748K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0449838 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.866+0800: 1.924: [Full GC (Ergonomics) [PSYoungGen: 131584K->9429K(153088K)] [ParOldGen: 349522K->349641K(349696K)] 481106K->359070K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0401171 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.918+0800: 1.976: [Full GC (Ergonomics) [PSYoungGen: 131584K->7074K(153088K)] [ParOldGen: 349641K->349681K(349696K)] 481225K->356755K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0392173 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.970+0800: 2.028: [Full GC (Ergonomics) [PSYoungGen: 131584K->4410K(153088K)] [ParOldGen: 349681K->349377K(349696K)] 481265K->353788K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0383241 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.021+0800: 2.079: [Full GC (Ergonomics) [PSYoungGen: 131584K->8030K(153088K)] [ParOldGen: 349377K->349623K(349696K)] 480961K->357654K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0383195 secs] [Times: user=0.45 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.070+0800: 2.128: [Full GC (Ergonomics) [PSYoungGen: 131584K->5657K(153088K)] [ParOldGen: 349623K->349384K(349696K)] 481207K->355042K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0411860 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.126+0800: 2.184: [Full GC (Ergonomics) [PSYoungGen: 131584K->1887K(153088K)] [ParOldGen: 349384K->349312K(349696K)] 480968K->351200K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0392580 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
