Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8499768k free), swap 19208636k(3937772k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2022-01-17T02:06:12.038+0800: 4.974: [GC (Allocation Failure) 2022-01-17T02:06:12.038+0800: 4.974: [DefNew: 1258304K->139775K(1258304K), 0.0350719 secs] 3258572K->2296085K(4054528K), 0.0351399 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:12.174+0800: 5.110: [GC (Allocation Failure) 2022-01-17T02:06:12.174+0800: 5.110: [DefNew: 1258303K->139775K(1258304K), 0.0338704 secs] 3414613K->2446377K(4054528K), 0.0339360 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:12.302+0800: 5.239: [GC (Allocation Failure) 2022-01-17T02:06:12.302+0800: 5.239: [DefNew: 1258303K->139775K(1258304K), 0.0343817 secs] 3564905K->2603705K(4054528K), 0.0344525 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:12.437+0800: 5.373: [GC (Allocation Failure) 2022-01-17T02:06:12.437+0800: 5.374: [DefNew: 1258303K->139776K(1258304K), 0.0349624 secs] 3722233K->2763629K(4054528K), 0.0350238 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:12.570+0800: 5.507: [GC (Allocation Failure) 2022-01-17T02:06:12.571+0800: 5.507: [DefNew: 1258304K->1258304K(1258304K), 0.0000142 secs]2022-01-17T02:06:12.571+0800: 5.507: [Tenured: 2623853K->495512K(2796224K), 0.0471839 secs] 3882157K->495512K(4054528K), [Metaspace: 2709K->2709K(1056768K)], 0.0472832 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2022-01-17T02:06:12.716+0800: 5.652: [GC (Allocation Failure) 2022-01-17T02:06:12.716+0800: 5.652: [DefNew: 1118528K->139775K(1258304K), 0.0286747 secs] 1614040K->744527K(4054528K), 0.0287446 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:12.842+0800: 5.778: [GC (Allocation Failure) 2022-01-17T02:06:12.842+0800: 5.778: [DefNew: 1258303K->139776K(1258304K), 0.0352449 secs] 1863055K->912174K(4054528K), 0.0353015 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:12.976+0800: 5.913: [GC (Allocation Failure) 2022-01-17T02:06:12.976+0800: 5.913: [DefNew: 1258304K->139776K(1258304K), 0.0353685 secs] 2030702K->1076517K(4054528K), 0.0354395 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:13.111+0800: 6.047: [GC (Allocation Failure) 2022-01-17T02:06:13.111+0800: 6.047: [DefNew: 1258304K->139775K(1258304K), 0.0335775 secs] 2195045K->1226760K(4054528K), 0.0336398 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:13.240+0800: 6.176: [GC (Allocation Failure) 2022-01-17T02:06:13.240+0800: 6.177: [DefNew: 1258303K->139775K(1258304K), 0.0341469 secs] 2345288K->1381960K(4054528K), 0.0342071 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
